2026-07-31T17:03:04.208 ERROR [system-orch:native-driver] native.port-held | service="whisper-stt" port=8768 holder=32169 reason="port 8768 is held by pid 32169 (/opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Py) — it is not a child of this gateway, so it was..."
2026-07-31T17:03:04.357 ERROR [system-orch:native-driver] native.port-held | service="local-tts" port=8770 holder=32264 reason="port 8770 is held by pid 32264 (/Users/kevinye/.sentient/dev-code/local-tts/venv/bin/python -m local_tts) — it is not a child of this gateway, so it was NOT signalled"
2026-07-31T17:03:04.357 INFO  [system-orch:orchestrator] apply.complete | state="failed" durationMs=9615 ready=7 degraded=0 failed=2 blocked=0
2026-07-31T17:03:04.376 ERROR [system-orch:native-driver] native.port-held | service="local-tts" port=8770 holder=32264 reason="port 8770 is held by pid 32264 (/Users/kevinye/.sentient/dev-code/local-tts/venv/bin/python -m local_tts) — it is not a child of this gateway, so it was NOT signalled"
2026-07-31T17:03:04.377 INFO  [system-orch:orchestrator] apply.complete | state="failed" durationMs=177 ready=0 degraded=0 failed=1 blocked=0
2026-07-31T17:03:04.412 WARN  [system-orch:native-driver] native.identity-failed | service="whisper-stt" reason="foreign listener on port 8768: pid 32169 (/opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Py), this gateway started no child for i..."
2026-07-31T17:03:04.469 WARN  [system-orch:native-driver] native.identity-failed | service="local-tts" reason="foreign listener on port 8770: pid 32264 (/Users/kevinye/.sentient/dev-code/local-tts/venv/bin/python -m local_tts), this gateway started no child for it — our last child (pid 32274) exited code=1: OS..."
2026-07-31T17:03:05.046 WARN  [system-orch:native-driver] native.identity-failed | service="whisper-stt" reason="foreign listener on port 8768: pid 32169 (/opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Py), this gateway started no child for i..."
2026-07-31T17:03:05.125 ERROR [system-orch:native-driver] native.port-held | service="whisper-stt" port=8768 holder=32169 reason="port 8768 is held by pid 32169 (/opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Py) — it is not a child of this gateway, so it was..."
2026-07-31T17:03:05.125 INFO  [system-orch:orchestrator] apply.complete | state="failed" durationMs=71 ready=0 degraded=0 failed=1 blocked=0
2026-07-31T17:03:05.291 WARN  [system-orch:native-driver] native.identity-failed | service="local-tts" reason="foreign listener on port 8770: pid 32264 (/Users/kevinye/.sentient/dev-code/local-tts/venv/bin/python -m local_tts), this gateway started no child for it"
2026-07-31T17:03:05.754 ERROR [system-orch:native-driver] native.port-held | service="local-tts" port=8770 holder=32264 reason="port 8770 is held by pid 32264 (/Users/kevinye/.sentient/dev-code/local-tts/venv/bin/python -m local_tts) — it is not a child of this gateway, so it was NOT signalled"
2026-07-31T17:03:05.755 INFO  [system-orch:orchestrator] apply.complete | state="failed" durationMs=441 ready=0 degraded=0 failed=1 blocked=0
2026-07-31T17:03:11.493 INFO  [system-orch:orchestrator] apply.complete | state="ready" durationMs=2293 ready=1 degraded=0 failed=0 blocked=0
2026-07-31T17:03:11.638 WARN  [system-orch:native-driver] native.identity-failed | service="whisper-stt" reason="foreign listener on port 8768: pid 32169 (/opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Py), this gateway started no child for i..."
2026-07-31T17:03:11.688 WARN  [system-orch:native-driver] native.identity-failed | service="local-tts" reason="foreign listener on port 8770: pid 32264 (/Users/kevinye/.sentient/dev-code/local-tts/venv/bin/python -m local_tts), this gateway started no child for it"
2026-07-31T17:03:13.296 ERROR [system-orch:native-driver] native.port-held | service="whisper-stt" port=8768 holder=32169 reason="port 8768 is held by pid 32169 (/opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Py) — it is not a child of this gateway, so it was..."
2026-07-31T17:03:13.352 ERROR [system-orch:native-driver] native.port-held | service="local-tts" port=8770 holder=32264 reason="port 8770 is held by pid 32264 (/Users/kevinye/.sentient/dev-code/local-tts/venv/bin/python -m local_tts) — it is not a child of this gateway, so it was NOT signalled"
2026-07-31T17:03:13.352 INFO  [system-orch:orchestrator] apply.complete | state="failed" durationMs=9111 ready=7 degraded=0 failed=2 blocked=0
